DISTRICT,PROVISIONAL_LICENCES_MALE,PROVISIONAL_LICENCES_FEMALE,FULL_LICENCES_MALE,FULL_LICENCES_FEMALE
CH08,921,1211,7749,6759
CH14,0,0,1,0
CH41,1829,2097,4599,3314
CH42,2628,3035,8778,7133
CH43,2209,2408,12961,11454
CH44,2422,2795,8296,6618
CH45,1746,1950,10657,9638
CH46,1533,1833,8359,7417
CH47,427,505,4164,4061
CH48,588,603,5847,5783
CH49,1448,1771,10142,9670
CH51,0,0,0,1
CH60,331,309,5405,5394
CH61,566,658,6611,6499
CH62,1603,1882,10179,9236
CH63,1169,1377,10952,10586
CH64,613,698,7607,7303
CH65,1976,2397,9088,7563
CH66,1508,1822,13167,12168
CM00,604,731,6975,6211
CM01,3326,3753,24242,21813
CM02,2530,3038,22872,20647
CM03,1620,1945,22691,21537
CM04,334,346,4402,4321
CM05,338,377,4611,4404
CM06,745,881,11536,11089
CM07,2261,2836,18341,15966
CM08,1559,2027,12115,10821
CM09,1210,1513,13711,12609
CM11,665,789,7984,7479
CM12,706,707,8244,7919
CM13,955,1108,10147,9430
CM14,974,1213,7966,7239
CM15,803,953,9495,9206
CM16,825,938,9288,8773
CM17,907,1193,9068,8482
CM18,1804,2204,8765,7102
CM19,1429,1702,7848,6219
CM20,1947,2336,8193,6256
CM21,360,421,4668,4276
CM22,480,508,6537,6099
CM23,1814,2043,15952,14711
CM24,284,343,3204,2968
CM77,457,561,6069,5871
CO01,1356,1531,5541,4251
CO02,2243,2837,13030,11082
CO03,1402,1558,11730,10868
CO04,2987,3532,17054,14511
CO05,831,1011,11699,10964
CO06,818,981,11521,11074
CO07,1190,1324,13765,12769
CO08,68,70,978,942
CO09,897,1053,10307,9460
CO10,1884,2225,18665,17117
CO11,399,535,5284,5035
CO12,1064,1387,8218,6899
CO13,376,477,4998,4686
CO14,270,363,2436,2030
CO15,2279,2733,15455,12802
CO16,1098,1264,9850,8758
CR00,17721,19952,51857,40721
CR02,3105,3614,18309,16504
CR03,1314,1538,11252,10833
CR04,8685,8560,21218,14603
CR05,1415,1717,11593,11077
CR06,364,417,4039,3857
CR07,7077,7030,14724,10753
CR08,1948,2194,12592,11616
CR09,56,40,62,22
CT01,2305,2546,8120,6634
CT02,1872,2034,8725,7550
CT03,826,986,7378,6862
CT04,621,658,6973,6852
CT05,1387,1561,12443,11940
CT06,1654,1875,14639,13691
CT07,389,496,4614,4253
CT08,428,482,2681,2504
CT09,3412,3722,13897,11599
CT10,1305,1407,9134,8561
CT11,2255,2470,9593,8214
CT12,1163,1387,6402,5565
CT13,368,431,3422,3125
CT14,1667,1987,12836,11467
