DISTRICT,PROVISIONAL_LICENCES_MALE,PROVISIONAL_LICENCES_FEMALE,FULL_LICENCES_MALE,FULL_LICENCES_FEMALE
PE19,1849,2235,17320,15832
PE20,506,609,5816,5286
PE21,2771,2829,14744,11706
PE22,510,589,6949,6294
PE23,290,326,3495,3209
PE24,470,565,4862,4064
PE25,1390,1519,7409,5939
PE26,400,522,4631,4192
PE27,901,1126,7886,6920
PE28,1494,1789,19496,18650
PE29,1831,2232,10449,8860
PE30,2816,3162,14775,12563
PE31,481,571,7765,7362
PE32,424,478,6411,6121
PE33,440,550,6066,5652
PE34,454,561,5678,5242
PE35,1,1,40,37
PE36,238,266,2306,2176
PE37,372,511,4267,3865
PE38,506,606,5944,5322
PH01,2411,3156,14738,12565
PH02,1583,1751,12958,11958
PH03,246,300,2628,2532
PH04,36,50,371,366
PH05,18,57,330,313
PH06,83,92,1003,989
PH07,372,461,3345,3083
PH08,89,95,795,758
PH09,16,39,362,340
PH10,458,517,4238,3896
PH11,139,185,1351,1165
PH12,48,71,821,743
PH13,178,208,1623,1416
PH14,48,71,845,834
PH15,165,204,1402,1241
PH16,168,196,1542,1417
PH17,11,5,77,67
PH18,25,39,313,260
PH19,1,4,40,34
PH20,59,86,624,558
PH21,92,105,842,779
PH22,205,250,1256,1129
PH23,25,30,321,330
PH24,19,23,311,286
PH25,27,31,370,363
PH26,157,165,1463,1347
PH30,0,0,6,4
PH31,19,20,232,239
PH32,34,42,286,238
PH33,693,892,4257,3593
PH34,35,42,448,405
PH35,27,18,132,109
PH36,36,60,527,490
PH37,5,12,63,52
PH38,10,12,79,81
PH39,25,21,168,171
PH40,21,20,124,101
PH41,71,58,354,311
PH42,2,7,39,32
PH44,3,0,4,6
PH49,39,57,429,376
PH50,48,82,329,243
PL01,2290,2317,7124,4682
PL02,2329,2766,9946,8201
PL03,1761,2103,10715,9493
PL04,2995,2699,8669,5946
PL05,2797,3775,13625,11351
PL06,1945,2479,15291,13689
PL07,1126,1463,11687,11107
PL08,196,167,2497,2502
PL09,1007,1257,11432,10789
PL10,157,186,1309,1211
PL11,513,677,3886,3449
PL12,885,1026,8422,7864
PL13,379,473,3857,3469
PL14,901,1199,9161,8640
PL15,627,785,8159,7585
PL16,48,60,842,794
PL17,338,360,4103,3734
PL18,168,240,2094,1996
PL19,594,659,6305,6096
PL20,410,494,4735,4616
PL21,597,703,7148,7059
PL22,133,153,1440,1446
PL23,132,151,1237,1207
PL24,436,571,3854,3611
PL25,1239,1369,9462,8604
PL26,1162,1245,10760,9727
PL27,381,492,4723,4615
PL28,197,207,1571,1523
PL29,35,26,366,364
PL30,258,281,4451,4240
PL31,783,954,5478,4792
PL32,139,208,1708,1604
PL33,77,68,759,729
PL34,68,78,711,672
PL35,32,34,405,399
PO01,2832,3202,7070,4619
PO02,3395,4152,13390,10138
PO03,1240,1443,7063,6012
PO04,2897,3274,13290,10705
PO05,2662,2580,7881,5494
PO06,2644,3140,14307,12369
PO07,1661,2041,16394,15281
PO08,1250,1509,14072,13160
PO09,3111,4103,16618,14581
PO10,642,761,7406,7083
PO11,656,703,7291,6764
PO12,2632,3115,16292,14161
PO13,1960,2503,12301,11268
PO14,1184,1327,12777,12228
PO15,870,917,8690,8127
PO16,1242,1352,12408,11418
PO17,213,223,2816,2610
PO18,470,519,5905,5801
PO19,1732,1957,10687,10228
PO20,1228,1351,13683,13094
PO21,2134,2148,14751,13119
PO22,1193,1365,11875,11213
PO30,1512,1788,10332,9593
PO31,675,777,5442,5095
PO32,433,490,3138,2912
PO33,1722,1983,10689,9720
PO34,60,73,914,911
PO35,148,127,1451,1395
PO36,828,961,5966,5479
PO37,466,492,3438,3045
PO38,583,652,4862,4497
PO39,97,122,1005,932
PO40,255,263,2147,2088
PO41,71,61,944,930
PR01,5516,5936,20895,15562
PR02,4246,5142,26945,23153
PR03,945,1153,16186,15471
PR04,1861,2323,24959,23327
PR05,1652,2061,15159,13532
PR06,1351,1604,13619,12467
PR07,2087,2605,22974,21072
PR08,2686,3143,19666,17980
PR09,1950,2243,15681,13881
PR25,1366,1729,11426,10452
PR26,479,526,5236,4982
RG01,5718,5434,14847,9062
RG02,3463,4050,14700,11192
RG03,28,23,86,47
RG04,1748,2165,15530,14440
RG05,1135,1270,10418,9673
RG06,2106,2267,14630,12599
RG07,1138,1344,13853,13299
RG08,750,686,7969,7719
RG09,1037,990,9533,9472
RG10,590,625,7708,7420
RG12,3140,3884,21565,18702
RG13,29,39,70,56
RG14,2052,2373,15179,13002
RG15,18,24,62,51
RG16,18,21,91,57
RG17,620,670,6002,5680
RG18,734,795,7392,6875
RG19,744,792,6511,6064
RG20,594,713,8185,7969
RG21,2144,2396,10090,7770
RG22,2081,2651,15520,13662
RG23,534,671,5070,4593
RG24,1661,2128,13377,11894
RG25,286,290,3646,3441
RG26,781,983,9133,8471
RG27,648,684,9497,9467
RG28,231,284,2355,2134
RG29,184,279,2684,2601
RG30,4010,4628,16157,12538
RG31,1198,1503,11116,10114
RG40,1080,1158,12334,11808
RG41,1063,1222,12104,11719
RG42,1117,1174,11114,10650
RG45,461,486,5771,5679
RH01,2617,3092,18029,16347
RH02,1057,1240,10172,9834
RH03,131,117,1811,1819
RH04,705,850,6080,5809
RH05,655,665,6954,6642
RH06,1392,1589,13036,12030
RH07,493,382,3892,3397
RH08,598,655,6087,6033
RH09,186,211,2218,2227
RH10,4019,4256,26962,22818
RH11,4668,5551,20301,15733
RH12,1881,2232,19367,18392
RH13,1354,1605,15535,14790
RH14,511,563,6562,6340
RH15,1456,1626,12333,11559
RH16,1610,1909,13805,13059
RH17,662,768,8030,7947
RH18,280,304,1934,1944
RH19,1445,1651,14030,13132
RH20,694,725,10899,10794
RM01,1521,1748,7737,6378
RM02,629,725,5089,4604
RM03,3131,4122,14905,12438
RM04,141,146,2000,1875
RM05,1230,1592,7036,6175
RM06,3418,3968,11740,8790
RM07,2335,2884,10340,8361
RM08,5034,5881,13933,9782
RM09,4076,5047,11434,7804
RM10,4587,5524,12003,8351
RM11,1435,1667,12528,11510
RM12,1860,2264,12841,11192
RM13,2121,2504,10846,8991
RM14,1028,1126,10698,10063
RM15,1913,2357,10928,9014
RM16,2096,2619,15810,13923
RM17,2089,2717,10527,7707
RM18,1511,1965,5921,4682
RM19,532,734,2668,1887
RM20,497,646,2540,1646
S01,675,483,1113,522
S02,3995,4655,10476,7023
S03,1992,1688,3635,1640
S04,1452,1457,3393,1843
S05,4778,6323,16298,11876
S06,3226,3914,19034,15988
S07,1258,1173,6047,5045
S08,2713,3210,14855,12658
S09,2310,2706,8409,5290
S10,2235,2222,13296,11726
S11,1774,1828,10804,9917
S12,1589,2246,11921,9508
S13,1560,2111,9851,7893
S14,838,1099,2181,1445
S17,483,573,6142,6014
S18,743,874,9535,9017
S19,4,8,44,33
S20,1156,1640,10976,9388
S21,747,1079,7510,6481
S25,814,1139,7723,6799
S26,869,1262,9633,8531
S30,32,26,132,117
S32,150,176,2344,2306
S33,144,157,1938,1875
S35,1328,1790,15209,13596
S36,975,1238,10901,9813
S40,1777,2150,12069,10272
S41,1840,2354,12345,10452
S42,1044,1378,10901,9675
S43,1883,2635,14176,11746
S44,1003,1345,7809,6525
S45,590,800,4884,4202
S60,1816,2496,14066,11596
S61,2040,2599,11383,9038
S62,1098,1506,6417,5021
S63,2511,3235,13443,10745
S64,1814,2266,10350,8222
S65,2539,3016,10122,7277
S66,2033,2835,16102,13729
S70,2622,3096,12942,9456
S71,2623,3300,15735,12754
S72,1367,1818,8682,6963
S73,1597,2049,9604,7718
S74,867,1284,6023,4905
S75,1547,2045,16820,14914
S80,1805,2106,10208,8144
S81,1399,1837,14078,12569
SA01,4451,4474,13697,9135
SA02,1729,1783,12805,11480
SA03,795,846,10336,10219
SA04,1483,1907,16676,15914
SA05,2168,2961,11253,9316
SA06,1637,2292,11322,9728
SA07,566,761,5596,5066
SA08,466,615,4762,4354
SA09,531,691,5613,5082
SA10,1011,1425,11271,10036
SA11,1715,2308,12058,9967
SA12,1783,2145,10607,9294
SA13,988,1277,6653,5395
SA14,1176,1488,12551,11610
SA15,1814,2129,12666,10740
SA16,315,394,3155,2821
SA17,355,411,3565,3226
SA18,1217,1378,10935,9917
SA19,285,345,3905,3676
SA20,115,137,1307,1164
SA31,784,946,5617,5281
SA32,154,190,3157,3092
SA33,315,390,5101,4803
SA34,132,138,2070,1938
SA35,14,27,356,321
SA36,10,8,137,130
SA37,31,39,584,528
SA38,144,166,1808,1683
SA39,69,82,1017,931
SA40,141,125,1117,1018
SA41,49,54,835,787
SA42,59,66,826,787
SA43,455,548,4848,4507
SA44,305,356,4580,4387
SA45,66,55,622,570
SA46,88,101,980,879
SA47,44,40,423,395
SA48,385,348,3329,3081
SA61,754,987,4741,4245
SA62,565,648,8446,8002
SA63,27,33,524,504
SA64,90,119,865,733
SA65,160,205,1615,1425
SA66,86,84,1270,1238
SA67,200,270,2882,2733
SA68,78,136,1665,1567
SA69,99,116,1449,1342
SA70,367,447,3385,3053
SA71,437,538,4085,3638
SA72,547,616,3507,3129
SA73,863,1117,7292,6409
SE01,9110,9146,19680,12223
SE02,3488,4087,8031,5965
SE03,2889,3428,11732,10042
SE04,3617,3939,8578,7070
SE05,7681,8458,13223,9196
SE06,6828,7509,16050,12956
SE07,2708,3187,6450,4671
SE08,4624,4993,8430,5756
SE09,5126,6029,21288,18160
SE10,2796,3345,10036,7915
SE11,3382,3510,6738,4269
SE12,2539,2970,8838,7503
SE13,5611,5858,12888,10078
SE14,4042,4143,7003,4892
SE15,11528,11638,17172,12476
SE16,5884,6696,14895,10354
SE17,6254,6432,8682,5065
SE18,12277,12734,22040,15005
SE19,2866,3458,9293,7788
SE20,2700,3019,7169,5936
SE21,1521,1629,5081,4767
SE22,3264,3540,9581,8324
SE23,3547,4062,10515,9089
SE24,1990,2095,5823,5119
SE25,4177,4826,10903,9036
SE26,3285,3939,8985,7572
SE27,2751,2901,6590,5414
SE28,3777,4735,7932,5712
SG01,3343,3885,18977,16037
SG02,2185,2752,15529,13655
SG03,237,283,2878,2746
SG04,1198,1403,11452,10841
SG05,1367,1600,12848,12143
SG06,1802,2158,12126,10987
SG07,524,569,5246,5042
SG08,1365,1574,15718,14539
SG09,272,313,4871,4757
SG10,43,61,831,827
SG11,257,230,3554,3385
SG12,1237,1346,11683,10865
SG13,728,769,6679,6416
SG14,848,972,7737,7254
SG15,236,258,2186,2045
SG16,176,213,2514,2442
SG17,482,517,5440,5139
SG18,995,1258,11129,10220
SG19,811,1074,10000,9258
SK01,759,935,3831,2994
SK02,1507,1789,10566,9584
SK03,1817,2230,9050,7841
SK04,1964,2052,13440,12155
SK05,2138,2747,9295,7609
SK06,1990,2332,19473,18113
SK07,1465,1582,16491,16030
SK08,2444,2772,23519,22276
SK09,1432,1623,15693,15093
SK10,1523,1620,15774,15295
SK11,1743,1989,13832,12470
SK12,590,595,7900,7802
SK13,1508,1915,12091,11039
SK14,2781,3396,16451,14009
SK15,1617,1821,9737,8466
SK16,1140,1364,6588,5479
SK17,1240,1412,11748,10398
SK22,504,601,4747,4211
SK23,595,640,7227,6635
SL00,438,493,4912,4496
SL01,7348,7410,26677,19637
SL02,4727,5525,20512,16125
SL03,2922,3780,18537,15507
SL04,2086,2471,17519,16216
SL05,1125,1244,10267,10502
SL06,3876,4381,32806,30228
SL07,735,809,8572,8593
SL08,202,205,2703,2707
SL09,867,907,9334,9419
SM01,2856,3391,14503,12088
SM02,1524,1909,11022,9990
SM03,1239,1402,8079,7257
SM04,3359,3596,13910,10601
SM05,2695,3254,13793,12569
SM06,2522,3021,13412,12011
SM07,614,649,7364,7405
SN01,3536,3182,11203,7295
SN02,3020,3702,14690,11249
SN03,3034,3888,19334,16183
SN04,1040,1269,11505,10702
SN05,1592,2193,13731,12002
SN06,821,944,9011,8446
SN07,471,646,5799,5403
SN08,941,1051,9585,9142
SN09,268,304,3256,3227
SN10,1210,1454,12030,11344
SN11,892,1138,8978,8380
SN12,1022,1133,10440,9608
SN13,633,782,6410,6263
SN14,1134,1286,10735,9947
SN15,1565,1785,14553,12456
SN16,401,431,5939,5685
SN25,1396,1784,15364,13755
SN26,44,48,877,785
SO01,54,41,155,61
SO02,79,44,142,64
SO03,33,22,121,81
SO04,33,29,137,108
SO05,33,21,132,68
SO14,3363,2740,7690,3986
SO15,3021,3149,13481,10245
SO16,4528,5518,22684,18494
SO17,1494,1424,5373,3708
SO18,2080,2468,12923,10893
SO19,3500,4465,19171,16206
SO20,272,288,3435,3217
SO21,586,725,8079,7746
SO22,1482,1702,9496,9056
SO23,1275,1343,7372,6867
SO24,358,391,4702,4649
SO30,949,1084,12693,12352
SO31,1500,1642,18558,17940
SO32,560,606,9055,9016
SO40,1406,1652,15936,14988
SO41,977,987,12826,12959
SO42,159,163,2024,1987
SO43,123,131,1842,1781
SO45,1304,1599,13307,12568
SO50,2252,2728,17948,16241
SO51,851,1037,11712,11457
SO52,172,241,2769,2623
SO53,1081,1230,12499,12111
SP01,1099,1152,7820,7206
SP02,1649,1863,10513,9402
SP03,338,432,4750,4634
SP04,1546,1885,13640,11676
SP05,581,662,9312,9203
SP06,357,379,5940,5757
SP07,478,627,5761,5595
SP08,455,541,5605,5446
SP09,472,895,3598,2793
SP10,2273,2872,14214,11976
SP11,971,1285,12116,11300
SR01,577,450,1242,495
SR02,2372,2565,10065,7738
SR03,2092,2829,12456,10099
SR04,3106,3887,11831,8776
SR05,2577,3201,9341,6829
SR06,1285,1523,10781,9426
SR07,1614,2216,9666,7687
SR08,2187,2984,10824,8528
SS00,3361,3632,13904,11385
SS01,2041,2240,9258,7843
SS02,2709,3293,12109,10139
SS03,1613,1952,10226,9376
SS04,867,1064,7992,7481
SS05,789,729,8999,8458
SS06,1140,1304,12182,11360
SS07,1846,2129,19734,18228
SS08,1897,2585,14326,12138
SS09,2169,2426,18923,17492
SS11,693,818,7464,6746
SS12,687,830,7289,6639
SS13,1642,2173,7882,6341
SS14,2145,2909,8832,6936
SS15,2211,2776,10904,9469
SS16,1962,2728,11015,9093
SS17,1377,1748,12807,11456
ST01,2662,2933,9839,6564
ST02,2153,2870,10646,8329
ST03,3843,4956,22373,17820
ST04,4043,4454,18106,14005
ST05,4329,5020,27425,23137
ST06,4462,5733,20719,15345
ST07,2011,2492,20677,18720
ST08,624,846,7669,6929
ST09,276,344,4951,4582
ST10,720,963,9912,8907
ST11,284,304,3959,3598
ST12,119,124,1501,1462
ST13,1063,1297,10253,9208
ST14,797,1001,7635,6736
ST15,684,849,8582,8002
ST16,1772,2048,10940,9192
ST17,1787,2248,13880,12495
ST18,404,418,7382,6890
ST19,456,524,6032,5738
ST20,174,205,2960,2737
ST21,106,165,2595,2495
SW01,39,39,64,43
SW01A,97,85,346,175
SW01E,125,92,455,248
SW01H,58,67,366,199
SW01P,1266,1539,4178,2867
SW01V,2242,2600,7037,5201
SW01W,872,981,2703,2210
SW01X,742,924,2506,2034
SW01Y,81,59,364,168
SW02,7458,7972,16503,12563
SW03,2175,2632,8648,7400
SW04,4863,4973,13772,10383
SW05,2277,1951,5958,3905
SW06,6163,7055,22274,18830
SW07,2943,2470,8748,6007
SW08,5518,5748,11417,7344
SW09,7709,7820,13386,8561
SW10,2017,2295,6625,5400
SW11,6907,8077,24678,20002
SW12,2583,2772,11119,9745
SW13,1065,1325,6298,5967
SW14,1096,1219,6615,6340
SW15,5441,6348,22919,19424
SW16,10622,10307,28148,21662
SW17,8504,7778,21215,16822
SW18,4787,5632,23405,20522
SW19,6838,7613,31819,27104
SW20,2114,2372,12336,11047
SY01,1572,1876,9061,7550
SY02,845,997,6418,5693
SY03,1381,1635,12468,11781
SY04,792,954,10108,9622
SY05,688,686,8699,8266
SY06,190,194,2852,2737
SY07,317,407,4520,4173
SY08,572,702,7296,6750
SY09,82,101,1123,999
SY10,403,515,6374,5921
SY11,1148,1376,9408,8453
SY12,272,311,3293,3036
SY13,722,803,7878,7158
SY14,150,188,2761,2733
SY15,119,135,2178,2092
SY16,807,894,5593,4888
SY17,84,114,1540,1387
SY18,131,137,1789,1594
SY19,27,24,448,391
SY20,256,304,2550,2352
SY21,556,751,6451,5865
SY22,256,253,3689,3432
SY23,1321,1463,8720,7705
SY24,166,205,1758,1605
SY25,136,181,1754,1601
TA01,2050,2339,14199,13079
TA02,1229,1461,10909,10088
TA03,334,372,6378,6231
TA04,550,618,7848,7751
TA05,283,360,4690,4492
TA06,2647,2916,17093,14374
TA07,413,444,6708,6444
TA08,590,666,6573,5900
TA09,539,614,5077,4552
TA10,312,278,4093,4016
TA11,233,305,3926,3872
TA12,167,205,2508,2438
TA13,91,129,1696,1689
TA14,85,118,1308,1199
TA15,17,23,277,275
TA16,50,64,772,740
TA17,8,14,240,260
TA18,314,401,4140,3830
TA19,299,376,4799,4703
TA20,759,823,7942,7160
TA21,707,846,7706,7241
TA22,59,84,1065,1073
TA23,240,298,2172,1978
TA24,674,862,6953,6348
TD01,892,1176,6339,5456
TD02,67,91,1089,1058
TD03,35,43,450,378
TD04,88,86,899,848
TD05,348,431,4366,4272
TD06,239,315,3198,3093
TD07,315,363,2707,2517
TD08,224,291,2304,2130
TD09,780,986,6572,5599
TD10,26,50,453,416
TD11,235,317,3032,2747
TD12,115,172,1708,1635
TD13,30,44,374,360
TD14,224,342,2421,2125
TD15,760,1001,6508,5684
TF01,2323,2725,13905,11520
TF02,2044,2438,13812,12052
TF03,1906,2422,8236,6526
TF04,980,1314,7352,6525
TF05,186,195,2032,1977
TF06,135,158,2405,2187
TF07,1442,1806,5462,4255
TF08,93,89,1214,1149
TF09,896,1095,10128,8934
TF10,612,624,7345,6824
TF11,366,398,4604,4349
TF12,199,222,2076,1918
TF13,114,134,1449,1453
TN01,811,922,4099,3342
TN02,1287,1592,10648,9900
TN03,317,385,4841,4708
TN04,1526,1831,11096,10336
TN05,281,333,3586,3581
TN06,808,1006,10313,9730
TN07,69,84,998,1020
TN08,488,597,5300,5159
TN09,1065,1167,6454,5863
TN10,771,895,5953,5714
TN11,423,512,5803,5649
TN12,1017,1303,11941,11286
TN13,978,1100,9679,9473
TN14,516,549,6584,6274
TN15,779,893,10533,10312
TN16,675,724,7966,7709
TN17,570,666,5526,5296
TN18,210,240,2650,2579
TN19,145,188,2177,2077
TN20,129,145,1579,1582
TN21,444,530,6901,6680
TN22,1001,1149,11040,10811
TN23,2553,3061,14675,12539
TN24,1889,2250,11789,10378
TN25,525,563,7577,7212
TN26,346,376,5106,4845
TN27,358,455,5773,5594
TN28,329,396,3479,3134
TN29,529,652,5328,4646
TN30,303,377,3872,3852
TN31,568,634,5616,5245
TN32,196,200,2161,2031
TN33,522,534,4947,4889
TN34,2230,2545,10078,8507
TN35,1079,1282,6262,5814
TN36,77,98,966,919
TN37,1415,1596,6787,5591
TN38,1923,2249,9413,8180
TN39,1093,1282,9856,9346
TN40,872,1061,6084,5710
TQ01,2015,2153,11391,9726
TQ02,2048,2413,12153,10869
TQ03,1602,1861,11125,10169
TQ04,854,974,7539,6784
TQ05,854,985,7256,6502
TQ06,306,426,3044,2751
TQ07,567,682,6700,6571
TQ08,73,69,721,676
TQ09,866,969,7287,7445
TQ10,121,164,1608,1585
TQ11,185,259,1596,1504
TQ12,2152,2543,21330,20209
TQ13,799,844,9601,9623
TQ14,823,963,7402,6954
TR01,1176,1423,7601,7233
TR02,323,397,4123,4034
TR03,375,414,5175,5095
TR04,386,437,4951,4828
TR05,160,147,1621,1641
TR06,148,178,1555,1435
TR07,1267,1364,8149,7314
TR08,320,345,4093,3847
TR09,302,396,3172,2921
TR10,550,598,3606,3334
TR11,1357,1544,10153,9697
TR12,295,322,3804,3567
TR13,689,850,7727,7422
TR14,1377,1435,9490,8313
TR15,1055,1149,7471,6672
TR16,558,617,6372,6059
TR17,64,82,590,561
TR18,1211,1381,6435,5763
TR19,401,456,3395,3270
TR20,299,341,3918,3738
TR21,77,96,574,470
TR22,7,5,22,21
TR23,2,6,31,24
TR24,5,7,43,23
TR25,3,3,48,38
TR26,590,631,4032,3756
TR27,631,748,5831,5410
TS01,2473,1899,3214,1348
TS02,144,147,224,125
TS03,2662,3303,6792,4756
TS04,1521,1845,4712,3459
TS05,2153,2693,13822,11719
TS06,1848,2502,9434,7540
TS07,699,959,8728,7876
TS08,970,1321,7483,6874
TS09,293,379,5340,5102
TS10,1995,2521,12443,10546
TS11,396,527,4423,3930
TS12,1025,1254,8015,7011
TS13,554,716,3365,2578
TS14,596,840,6952,6288
TS15,369,400,5870,5477
TS16,325,420,4046,3878
TS17,2040,2585,15673,13775
TS18,1556,1705,8203,6701
TS19,2082,2875,11168,9664
TS20,1054,1306,6706,5746
TS21,359,459,5134,4657
TS22,194,251,3963,3659
TS23,1609,2088,9425,7998
TS24,1583,1978,6078,4597
TS25,2070,2620,12100,10181
TS26,1202,1377,8609,7700
TS27,448,607,4434,3965
TS28,258,305,1775,1568
TS29,283,392,2097,1695
TW01,1563,1835,10424,9573
TW02,1865,2098,11456,10575
TW03,8796,6724,15272,9321
TW04,6002,4988,10558,6415
TW05,5282,4535,12120,7904
TW06,8,2,20,12
TW07,3617,4157,14770,11639
TW08,2177,2450,8096,6163
TW09,1583,1869,9138,8345
TW10,1453,1720,7886,7116
TW11,1359,1621,9108,8701
TW12,1323,1574,8823,8387
TW13,3528,4058,13067,9561
TW14,3181,3547,10659,7513
TW15,1242,1404,11357,10042
TW16,1000,1231,8519,7608
TW17,518,576,5971,5739
TW18,1325,1355,10433,9323
TW19,1111,1276,7101,5872
TW20,1562,1612,8822,7609
UB01,10414,7595,14538,8355
UB02,7843,5929,12004,7239
UB03,7531,7355,19039,12251
UB04,4824,4751,14663,10584
UB05,5203,6201,16542,11897
UB06,6415,6177,21344,14218
UB07,3237,3650,12066,8618
UB08,2953,3092,11829,9089
UB09,717,778,6155,5575
UB10,2106,2506,14023,12221
UNKNOWN,1710,1386,23163,15881
W01B,68,72,307,169
W01C,16,8,18,5
W01D,214,113,397,151
W01F,182,150,546,257
W01G,246,237,1082,789
W01H,876,768,2289,1499
W01J,205,154,744,454
W01K,388,405,1106,668
W01P,70,66,94,39
W01S,49,41,146,59
W01T,478,363,1144,593
W01U,531,546,1784,1209
W01V,92,61,101,49
W01W,429,475,1141,701
W01Y,65,55,115,60
W02,7515,6864,17012,11064
W03,7279,7010,21728,15385
W04,3660,4262,17779,15486
W05,4767,5017,21461,17299
W06,4069,4018,11634,9227
W07,3283,3499,10214,8365
W08,2142,2566,8277,7028
W09,4628,5002,12688,9432
W10,4711,5335,9398,7034
W11,3869,4346,10272,8313
W12,7111,7122,14795,10524
W13,3479,3439,12783,10160
W14,4631,5050,12943,9960
W17,9,7,10,10
W26,0,1,0,1
WA01,1121,1208,8457,7268
WA02,2651,3126,13459,10948
WA03,1802,2330,17812,16294
WA04,1792,2027,18943,17572
WA05,2675,3297,22929,20301
WA06,595,684,7887,7508
WA07,4257,5424,20995,17466
WA08,3533,4586,22190,18626
WA09,3235,4199,15933,12552
WA10,2235,2591,13180,11066
WA11,1737,2288,14623,12685
WA12,1216,1608,8374,7102
WA13,346,408,5290,5165
WA14,1491,1501,11690,10856
WA15,1826,1914,16955,15742
WA16,819,831,9698,9363
WC01A,105,98,306,136
WC01B,197,218,360,239
WC01E,237,240,481,306
WC01H,981,929,1822,1001
WC01N,798,804,1847,1149
WC01R,54,41,183,102
WC01V,61,42,102,50
WC01X,1021,963,1942,1211
WC02A,14,15,91,54
WC02B,201,165,478,258
WC02E,73,57,229,117
WC02H,409,314,812,380
WC02N,94,57,243,119
WC02R,41,31,137,80
WC24,2,0,5,1
WD01,61,53,141,76
WD02,100,73,211,91
WD03,1724,1853,16743,16398
WD04,354,372,4737,4545
WD05,491,510,4439,4321
WD06,2639,3056,15208,12887
WD07,467,569,5331,5223
WD17,1196,1246,6969,5732
WD18,2626,2990,9252,6514
WD19,1646,1928,10476,9532
WD23,1251,1473,10545,10328
WD24,1772,1958,8712,6859
WD25,1625,1970,11036,9961
WF01,2605,3009,12189,8954
WF02,2909,3730,17507,14649
WF03,1301,1781,12478,11244
WF04,1749,2322,16418,14483
WF05,884,1150,7649,6896
WF06,1177,1561,7541,6101
WF07,1031,1495,7574,6492
WF08,1660,2226,12090,10345
WF09,2478,3289,13302,10344
WF10,2843,3891,16232,12889
WF11,1021,1324,5771,4677
WF12,2074,2802,11438,8845
WF13,2269,2900,8028,5350
WF14,696,968,7377,6739
WF15,836,1101,6149,5397
WF16,723,953,3950,2925
WF17,2717,3675,13894,10290
WN01,1114,1233,6888,5353
WN02,2539,3293,17916,14809
WN03,1425,1921,10971,9074
WN04,1205,1523,10370,8934
WN05,2279,2851,15057,12319
WN06,1570,1933,15186,13683
WN07,2771,3337,16168,12956
WN08,3245,3948,15325,12564
WR01,769,686,3336,2501
WR02,1278,1414,10939,9915
WR03,840,950,8241,7495
WR04,1599,2001,8649,7400
WR05,1448,1818,12409,11115
WR06,308,325,5661,5450
WR07,110,121,2480,2418
WR08,223,222,3531,3383
WR09,1276,1508,12499,11814
WR10,484,685,7756,7437
WR11,1806,2100,17897,15833
WR12,148,194,2513,2439
WR13,209,226,3738,3655
WR14,1664,2001,12603,11804
WR15,246,245,2979,2753
WS01,2503,2971,7836,4874
WS02,3325,4538,11173,7338
WS03,3511,4486,15851,12404
WS04,916,1090,6120,5175
WS05,1023,1558,7766,6589
WS06,569,752,6698,5879
WS07,922,1266,11517,10277
WS08,830,1025,5533,4657
WS09,935,1175,9923,8927
WS10,3431,4568,14268,10463
WS11,1866,2458,15419,13286
WS12,1258,1719,13375,11758
WS13,1193,1365,10037,9063
WS14,560,623,6979,6689
WS15,1556,1955,14322,12689
WV01,1989,1946,4378,2682
WV02,2057,2245,4796,3117
WV03,2109,2371,10143,8192
WV04,1869,2421,12220,10116
WV05,419,552,6044,5583
WV06,2751,3151,16005,13734
WV07,367,270,2262,2052
WV08,713,1030,5574,5136
WV09,299,369,2644,2369
WV10,4549,5918,17194,13456
WV11,2010,2642,11756,9353
WV12,1279,1722,8797,7229
WV13,1584,2019,6714,5145
WV14,3273,4276,15016,11634
WV15,278,317,3482,3098
WV16,523,628,7044,6361
YO01,374,380,1453,1080
YO02,34,37,73,28
YO03,35,29,90,53
YO04,12,13,98,76
YO05,8,9,32,18
YO06,18,27,112,63
YO07,619,747,8062,7453
YO08,1854,2404,17441,15467
YO10,1520,1866,7098,6000
YO11,1425,1659,7482,5883
YO12,2219,2683,13112,11267
YO13,237,294,4234,4139
YO14,393,536,4316,3861
YO15,741,815,4800,3793
YO16,1141,1503,8631,7113
YO17,774,891,8700,7850
YO18,326,392,4495,4247
YO19,368,435,5074,4813
YO21,534,604,5375,4815
YO22,378,433,3225,2906
YO23,798,982,7180,6966
YO24,1712,2178,9970,9062
YO25,1004,1274,13354,12273
YO26,1459,1789,10880,9909
YO30,1416,1715,8949,8067
YO31,1584,1964,8732,7635
YO32,952,1261,10590,10299
YO41,247,344,4466,4324
YO42,451,579,6070,5851
YO43,335,398,5072,4776
YO51,150,179,2432,2370
YO60,105,107,1955,1958
YO61,359,439,5749,5681
YO62,350,390,4782,4572
ZE01,425,528,2736,2294
ZE02,566,760,5501,4910
ZE03,20,23,169,133
