DISTRICT,PROVISIONAL_LICENCES_MALE,PROVISIONAL_LICENCES_FEMALE,PROVISIONAL_LICENCES_TOTAL,FULL_LICENCES_MALE,FULL_LICENCES_FEMALE,FULL_LICENCES_TOTAL
BS18,15,14,29,79,61,140
BS19,4,6,10,45,37,82
BS20,962,1175,2137,12668,11903,24571
BS21,763,996,1759,9150,8768,17918
BS22,1455,1846,3301,14511,13112,27623
BS23,2309,2637,4946,11984,9423,21407
BS24,742,973,1715,8775,8214,16989
BS25,178,158,336,2679,2535,5214
BS26,148,146,294,2062,2032,4094
BS27,216,225,441,2982,2888,5870
BS28,72,71,143,1451,1415,2866
BS29,78,101,179,1145,1026,2171
BS30,892,1057,1949,11644,11116,22760
BS31,745,931,1676,8398,7895,16293
BS32,1029,1099,2128,9353,8494,17847
BS34,1722,1975,3697,12361,10498,22859
BS35,742,840,1582,9587,8873,18460
BS36,479,484,963,6533,6316,12849
BS37,1428,1764,3192,15349,14104,29453
BS38,0,0,0,1,0,1
BS39,443,514,957,6694,6275,12969
BS40,298,324,622,5541,5456,10997
BS41,166,204,370,2432,2331,4763
BS45,0,0,0,1,1,2
BS48,728,848,1576,9349,9033,18382
BS49,383,420,803,4725,4629,9354
BS53,0,0,0,1,0,1
BS57,0,0,0,1,0,1
BS67,0,0,0,0,1,1
BS94,0,1,1,0,0,0
BS99,1,0,1,0,0,0
CA00,0,0,0,1,1,2
CA01,1515,1833,3348,7596,6091,13687
CA02,2059,2772,4831,13015,10733,23748
CA03,486,576,1062,5261,4760,10021
CA04,183,252,435,3979,3844,7823
CA05,189,202,391,2992,2928,5920
CA06,267,336,603,3831,3370,7201
CA07,694,901,1595,8801,8075,16876
CA08,291,414,705,4140,3811,7951
CA09,69,102,171,865,769,1634
CA10,339,432,771,5968,5575,11543
CA11,843,1036,1879,8356,7545,15901
CA12,317,352,669,3068,2735,5803
CA13,465,624,1089,6073,5658,11731
CA14,1583,2187,3770,12562,10508,23070
CA15,716,970,1686,5637,4711,10348
CA16,144,166,310,2569,2426,4995
CA17,122,169,291,2017,1792,3809
CA18,12,4,16,117,119,236
CA19,27,29,56,456,425,881
CA20,78,90,168,1362,1219,2581
CA21,22,21,43,323,282,605
CA22,443,570,1013,3160,2623,5783
CA23,54,64,118,567,482,1049
CA24,32,56,88,402,325,727
CA25,295,411,706,1927,1617,3544
CA26,147,204,351,1314,1154,2468
CA27,43,63,106,656,569,1225
CA28,1415,1742,3157,9750,8000,17750
CB01,3856,4080,7936,16369,13961,30330
CB02,1585,1703,3288,7559,6693,14252
CB03,1162,1328,2490,6488,5862,12350
CB04,3793,4093,7886,16132,13245,29377
CB05,1099,1221,2320,4937,4074,9011
CB06,1335,1649,2984,14698,13430,28128
CB07,1106,1224,2330,10368,9469,19837
CB08,1542,1645,3187,12443,11313,23756
CB09,1554,2103,3657,11490,9864,21354
CB10,547,660,1207,5783,5456,11239
CB11,659,768,1427,7326,6946,14272
CB12,0,0,0,1,1,2
CB19,0,0,0,1,0,1
CB21,437,478,915,5383,5014,10397
CB22,736,748,1484,8307,7685,15992
CB23,1075,1263,2338,11555,10938,22493
CB24,1052,1146,2198,11696,10811,22507
CB25,495,513,1008,6149,5714,11863
CF00,1,0,1,0,0,0
CF01,87,68,155,150,52,202
CF02,48,43,91,132,45,177
