DISTRICT,PROVISIONAL_LICENCES_MALE,PROVISIONAL_LICENCES_FEMALE,PROVISIONAL_LICENCES_TOTAL,FULL_LICENCES_MALE,FULL_LICENCES_FEMALE,FULL_LICENCES_TOTAL
PA63,1,0,1,3,4,7
PA64,3,3,6,44,48,92
PA65,10,10,20,92,89,181
PA66,6,10,16,72,70,142
PA67,18,16,34,97,91,188
PA68,0,0,0,5,3,8
PA69,1,2,3,10,8,18
PA70,4,3,7,27,28,55
PA71,1,0,1,25,15,40
PA72,16,16,32,194,188,382
PA73,3,2,5,22,22,44
PA74,0,3,3,16,12,28
PA75,68,78,146,574,560,1134
PA76,6,5,11,62,69,131
PA77,20,31,51,246,255,501
PA78,9,12,21,73,72,145
PA80,14,13,27,121,97,218
PA81,3,6,9,14,8,22
PA82,5,5,10,12,11,23
PA83,0,0,0,1,1,2
PA84,0,1,1,1,0,1
PA85,3,3,6,2,5,7
PA86,21,33,54,64,65,129
PA87,27,36,63,40,32,72
PA88,4,2,6,7,4,11
PE01,5139,5227,10366,16140,10179,26319
PE02,3066,3849,6915,17459,14330,31789
PE03,2379,3121,5500,10417,7681,18098
PE04,1542,2034,3576,10411,8898,19309
PE05,36,36,72,640,613,1253
PE06,1152,1518,2670,15236,14338,29574
PE07,1771,2309,4080,17713,15963,33676
PE08,586,718,1304,7182,6755,13937
PE09,1244,1547,2791,12423,11924,24347
PE10,791,1025,1816,9364,8782,18146
PE11,1943,2223,4166,17001,14134,31135
PE12,1312,1603,2915,16290,14397,30687
PE13,1974,2155,4129,13109,10913,24022
PE14,688,797,1485,8991,8272,17263
PE15,1165,1470,2635,11273,10049,21322
PE16,372,497,869,4266,3699,7965
PE17,59,43,102,140,90,230
PE18,50,77,127,105,82,187
PE19,1849,2235,4084,17320,15832,33152
PE20,506,609,1115,5816,5286,11102
PE21,2771,2829,5600,14744,11706,26450
PE22,510,589,1099,6949,6294,13243
PE23,290,326,616,3495,3209,6704
PE24,470,565,1035,4862,4064,8926
PE25,1390,1519,2909,7409,5939,13348
PE26,400,522,922,4631,4192,8823
PE27,901,1126,2027,7886,6920,14806
PE28,1494,1789,3283,19496,18650,38146
PE29,1831,2232,4063,10449,8860,19309
PE30,2816,3162,5978,14775,12563,27338
PE31,481,571,1052,7765,7362,15127
PE32,424,478,902,6411,6121,12532
PE33,440,550,990,6066,5652,11718
PE34,454,561,1015,5678,5242,10920
PE35,1,1,2,40,37,77
PE36,238,266,504,2306,2176,4482
PE37,372,511,883,4267,3865,8132
PE38,506,606,1112,5944,5322,11266
PE99,0,0,0,1,0,1
PH01,2411,3156,5567,14738,12565,27303
PH02,1583,1751,3334,12958,11958,24916
PH03,246,300,546,2628,2532,5160
PH04,36,50,86,371,366,737
PH05,18,57,75,330,313,643
PH06,83,92,175,1003,989,1992
PH07,372,461,833,3345,3083,6428
PH08,89,95,184,795,758,1553
PH09,16,39,55,362,340,702
PH10,458,517,975,4238,3896,8134
PH11,139,185,324,1351,1165,2516
PH12,48,71,119,821,743,1564
PH13,178,208,386,1623,1416,3039
PH14,48,71,119,845,834,1679
PH15,165,204,369,1402,1241,2643
PH16,168,196,364,1542,1417,2959
PH17,11,5,16,77,67,144
PH18,25,39,64,313,260,573
PH19,1,4,5,40,34,74
PH20,59,86,145,624,558,1182
PH21,92,105,197,842,779,1621
PH22,205,250,455,1256,1129,2385
PH23,25,30,55,321,330,651
PH24,19,23,42,311,286,597
PH25,27,31,58,370,363,733
PH26,157,165,322,1463,1347,2810
PH30,0,0,0,6,4,10
PH31,19,20,39,232,239,471
PH32,34,42,76,286,238,524
PH33,693,892,1585,4257,3593,7850
PH34,35,42,77,448,405,853
PH35,27,18,45,132,109,241
PH36,36,60,96,527,490,1017
PH37,5,12,17,63,52,115
PH38,10,12,22,79,81,160
PH39,25,21,46,168,171,339
PH40,21,20,41,124,101,225
PH41,71,58,129,354,311,665
PH42,2,7,9,39,32,71
PH43,1,2,3,8,8,16
PH44,3,0,3,4,6,10
PH49,39,57,96,429,376,805
PH50,48,82,130,329,243,572
PL00,0,1,1,0,0,0
PL01,2290,2317,4607,7124,4682,11806
PL02,2329,2766,5095,9946,8201,18147
PL03,1761,2103,3864,10715,9493,20208
PL04,2995,2699,5694,8669,5946,14615
PL05,2797,3775,6572,13625,11351,24976
PL06,1945,2479,4424,15291,13689,28980
PL07,1126,1463,2589,11687,11107,22794
PL08,196,167,363,2497,2502,4999
PL09,1007,1257,2264,11432,10789,22221
PL10,157,186,343,1309,1211,2520
PL11,513,677,1190,3886,3449,7335
PL12,885,1026,1911,8422,7864,16286
PL13,379,473,852,3857,3469,7326
PL14,901,1199,2100,9161,8640,17801
PL15,627,785,1412,8159,7585,15744
PL16,48,60,108,842,794,1636
PL17,338,360,698,4103,3734,7837
PL18,168,240,408,2094,1996,4090
PL19,594,659,1253,6305,6096,12401
PL20,410,494,904,4735,4616,9351
PL21,597,703,1300,7148,7059,14207
PL22,133,153,286,1440,1446,2886
PL23,132,151,283,1237,1207,2444
PL24,436,571,1007,3854,3611,7465
PL25,1239,1369,2608,9462,8604,18066
PL26,1162,1245,2407,10760,9727,20487
PL27,381,492,873,4723,4615,9338
PL28,197,207,404,1571,1523,3094
PL29,35,26,61,366,364,730
PL30,258,281,539,4451,4240,8691
PL31,783,954,1737,5478,4792,10270
PL32,139,208,347,1708,1604,3312
PL33,77,68,145,759,729,1488
PL34,68,78,146,711,672,1383
PL35,32,34,66,405,399,804
PO01,2832,3202,6034,7070,4619,11689
PO02,3395,4152,7547,13390,10138,23528
PO03,1240,1443,2683,7063,6012,13075
PO04,2897,3274,6171,13290,10705,23995
PO05,2662,2580,5242,7881,5494,13375
PO06,2644,3140,5784,14307,12369,26676
PO07,1661,2041,3702,16394,15281,31675
PO08,1250,1509,2759,14072,13160,27232
PO09,3111,4103,7214,16618,14581,31199
PO10,642,761,1403,7406,7083,14489
PO11,656,703,1359,7291,6764,14055
PO12,2632,3115,5747,16292,14161,30453
PO13,1960,2503,4463,12301,11268,23569
PO14,1184,1327,2511,12777,12228,25005
PO15,870,917,1787,8690,8127,16817
PO16,1242,1352,2594,12408,11418,23826
PO17,213,223,436,2816,2610,5426
PO18,470,519,989,5905,5801,11706
PO19,1732,1957,3689,10687,10228,20915
PO20,1228,1351,2579,13683,13094,26777
PO21,2134,2148,4282,14751,13119,27870
PO22,1193,1365,2558,11875,11213,23088
PO30,1512,1788,3300,10332,9593,19925
PO31,675,777,1452,5442,5095,10537
PO32,433,490,923,3138,2912,6050
PO33,1722,1983,3705,10689,9720,20409
PO34,60,73,133,914,911,1825
PO35,148,127,275,1451,1395,2846
PO36,828,961,1789,5966,5479,11445
PO37,466,492,958,3438,3045,6483
PO38,583,652,1235,4862,4497,9359
PO39,97,122,219,1005,932,1937
PO40,255,263,518,2147,2088,4235
PO41,71,61,132,944,930,1874
PR01,5516,5936,11452,20895,15562,36457
PR02,4246,5142,9388,26945,23153,50098
PR03,945,1153,2098,16186,15471,31657
PR04,1861,2323,4184,24959,23327,48286
PR05,1652,2061,3713,15159,13532,28691
PR06,1351,1604,2955,13619,12467,26086
PR07,2087,2605,4692,22974,21072,44046
PR08,2686,3143,5829,19666,17980,37646
PR09,1950,2243,4193,15681,13881,29562
PR25,1366,1729,3095,11426,10452,21878
PR26,479,526,1005,5236,4982,10218
RG01,5718,5434,11152,14847,9062,23909
RG02,3463,4050,7513,14700,11192,25892
RG03,28,23,51,86,47,133
RG04,1748,2165,3913,15530,14440,29970
RG05,1135,1270,2405,10418,9673,20091
RG06,2106,2267,4373,14630,12599,27229
RG07,1138,1344,2482,13853,13299,27152
RG08,750,686,1436,7969,7719,15688
RG09,1037,990,2027,9533,9472,19005
RG10,590,625,1215,7708,7420,15128
RG11,32,24,56,81,50,131
RG12,3140,3884,7024,21565,18702,40267
RG13,29,39,68,70,56,126
RG14,2052,2373,4425,15179,13002,28181
RG15,18,24,42,62,51,113
RG16,18,21,39,91,57,148
RG17,620,670,1290,6002,5680,11682
RG18,734,795,1529,7392,6875,14267
RG19,744,792,1536,6511,6064,12575
RG20,594,713,1307,8185,7969,16154
RG21,2144,2396,4540,10090,7770,17860
RG22,2081,2651,4732,15520,13662,29182
RG23,534,671,1205,5070,4593,9663
RG24,1661,2128,3789,13377,11894,25271
RG25,286,290,576,3646,3441,7087
RG26,781,983,1764,9133,8471,17604
RG27,648,684,1332,9497,9467,18964
RG28,231,284,515,2355,2134,4489
RG29,184,279,463,2684,2601,5285
RG30,4010,4628,8638,16157,12538,28695
RG31,1198,1503,2701,11116,10114,21230
RG33,0,0,0,0,1,1
RG34,0,0,0,0,1,1
RG40,1080,1158,2238,12334,11808,24142
RG41,1063,1222,2285,12104,11719,23823
RG42,1117,1174,2291,11114,10650,21764
RG45,461,486,947,5771,5679,11450
RH01,2617,3092,5709,18029,16347,34376
RH02,1057,1240,2297,10172,9834,20006
RH03,131,117,248,1811,1819,3630
RH04,705,850,1555,6080,5809,11889
RH05,655,665,1320,6954,6642,13596
RH06,1392,1589,2981,13036,12030,25066
RH07,493,382,875,3892,3397,7289
RH08,598,655,1253,6087,6033,12120
RH09,186,211,397,2218,2227,4445
RH10,4019,4256,8275,26962,22818,49780
RH11,4668,5551,10219,20301,15733,36034
RH12,1881,2232,4113,19367,18392,37759
RH13,1354,1605,2959,15535,14790,30325
RH14,511,563,1074,6562,6340,12902
RH15,1456,1626,3082,12333,11559,23892
RH16,1610,1909,3519,13805,13059,26864
RH17,662,768,1430,8030,7947,15977
RH18,280,304,584,1934,1944,3878
RH19,1445,1651,3096,14030,13132,27162
RH20,694,725,1419,10899,10794,21693
RM01,1521,1748,3269,7737,6378,14115
RM02,629,725,1354,5089,4604,9693
RM03,3131,4122,7253,14905,12438,27343
RM04,141,146,287,2000,1875,3875
RM05,1230,1592,2822,7036,6175,13211
RM06,3418,3968,7386,11740,8790,20530
RM07,2335,2884,5219,10340,8361,18701
RM08,5034,5881,10915,13933,9782,23715
RM09,4076,5047,9123,11434,7804,19238
RM10,4587,5524,10111,12003,8351,20354
RM11,1435,1667,3102,12528,11510,24038
RM12,1860,2264,4124,12841,11192,24033
RM13,2121,2504,4625,10846,8991,19837
RM14,1028,1126,2154,10698,10063,20761
RM15,1913,2357,4270,10928,9014,19942
RM16,2096,2619,4715,15810,13923,29733
RM17,2089,2717,4806,10527,7707,18234
RM18,1511,1965,3476,5921,4682,10603
RM19,532,734,1266,2668,1887,4555
RM20,497,646,1143,2540,1646,4186
S01,675,483,1158,1113,522,1635
S02,3995,4655,8650,10476,7023,17499
S03,1992,1688,3680,3635,1640,5275
S04,1452,1457,2909,3393,1843,5236
S05,4778,6323,11101,16298,11876,28174
S06,3226,3914,7140,19034,15988,35022
S06O,0,0,0,0,1,1
S07,1258,1173,2431,6047,5045,11092
S07O,0,0,0,1,0,1
S08,2713,3210,5923,14855,12658,27513
S08O,0,0,0,1,0,1
S09,2310,2706,5016,8409,5290,13699
S10,2235,2222,4457,13296,11726,25022
S11,1774,1828,3602,10804,9917,20721
S12,1589,2246,3835,11921,9508,21429
S13,1560,2111,3671,9851,7893,17744
S14,838,1099,1937,2181,1445,3626
S16,0,0,0,0,1,1
S17,483,573,1056,6142,6014,12156
S18,743,874,1617,9535,9017,18552
S19,4,8,12,44,33,77
S20,1156,1640,2796,10976,9388,20364
S21,747,1079,1826,7510,6481,13991
S22,0,1,1,0,1,1
S24,0,0,0,0,1,1
S25,814,1139,1953,7723,6799,14522
S26,869,1262,2131,9633,8531,18164
S29,0,0,0,1,0,1
S30,32,26,58,132,117,249
S31,22,29,51,82,32,114
S32,150,176,326,2344,2306,4650
S33,144,157,301,1938,1875,3813
S35,1328,1790,3118,15209,13596,28805
S36,975,1238,2213,10901,9813,20714
S37,1,0,1,1,0,1
S40,1777,2150,3927,12069,10272,22341
S41,1840,2354,4194,12345,10452,22797
S42,1044,1378,2422,10901,9675,20576
S43,1883,2635,4518,14176,11746,25922
S44,1003,1345,2348,7809,6525,14334
S45,590,800,1390,4884,4202,9086
S46,0,0,0,2,0,2
S49,0,0,0,1,0,1
S54,0,0,0,1,0,1
S60,1816,2496,4312,14066,11596,25662
S61,2040,2599,4639,11383,9038,20421
S62,1098,1506,2604,6417,5021,11438
S63,2511,3235,5746,13443,10745,24188
S64,1814,2266,4080,10350,8222,18572
S65,2539,3016,5555,10122,7277,17399
S66,2033,2835,4868,16102,13729,29831
S68,0,0,0,0,1,1
S70,2622,3096,5718,12942,9456,22398
S71,2623,3300,5923,15735,12754,28489
S72,1367,1818,3185,8682,6963,15645
S73,1597,2049,3646,9604,7718,17322
S74,867,1284,2151,6023,4905,10928
S75,1547,2045,3592,16820,14914,31734
S80,1805,2106,3911,10208,8144,18352
S81,1399,1837,3236,14078,12569,26647
SA01,4451,4474,8925,13697,9135,22832
SA02,1729,1783,3512,12805,11480,24285
SA03,795,846,1641,10336,10219,20555
SA04,1483,1907,3390,16676,15914,32590
SA05,2168,2961,5129,11253,9316,20569
SA06,1637,2292,3929,11322,9728,21050
SA07,566,761,1327,5596,5066,10662
SA08,466,615,1081,4762,4354,9116
SA09,531,691,1222,5613,5082,10695
SA10,1011,1425,2436,11271,10036,21307
SA11,1715,2308,4023,12058,9967,22025
SA12,1783,2145,3928,10607,9294,19901
SA13,988,1277,2265,6653,5395,12048
SA14,1176,1488,2664,12551,11610,24161
SA15,1814,2129,3943,12666,10740,23406
SA16,315,394,709,3155,2821,5976
SA17,355,411,766,3565,3226,6791
SA18,1217,1378,2595,10935,9917,20852
SA19,285,345,630,3905,3676,7581
SA20,115,137,252,1307,1164,2471
SA31,784,946,1730,5617,5281,10898
SA32,154,190,344,3157,3092,6249
SA33,315,390,705,5101,4803,9904
SA34,132,138,270,2070,1938,4008
SA35,14,27,41,356,321,677
SA36,10,8,18,137,130,267
SA37,31,39,70,584,528,1112
SA38,144,166,310,1808,1683,3491
SA39,69,82,151,1017,931,1948
SA40,141,125,266,1117,1018,2135
SA41,49,54,103,835,787,1622
SA42,59,66,125,826,787,1613
SA43,455,548,1003,4848,4507,9355
SA44,305,356,661,4580,4387,8967
SA45,66,55,121,622,570,1192
SA46,88,101,189,980,879,1859
SA47,44,40,84,423,395,818
SA48,385,348,733,3329,3081,6410
SA61,754,987,1741,4741,4245,8986
SA62,565,648,1213,8446,8002,16448
SA63,27,33,60,524,504,1028
SA64,90,119,209,865,733,1598
SA65,160,205,365,1615,1425,3040
SA66,86,84,170,1270,1238,2508
SA67,200,270,470,2882,2733,5615
SA68,78,136,214,1665,1567,3232
SA69,99,116,215,1449,1342,2791
SA70,367,447,814,3385,3053,6438
SA71,437,538,975,4085,3638,7723
SA72,547,616,1163,3507,3129,6636
SA73,863,1117,1980,7292,6409,13701
SA99,1,0,1,0,0,0
SE00,0,1,1,0,1,1
SE01,9110,9146,18256,19680,12223,31903
SE01V,0,0,0,2,0,2
SE02,3488,4087,7575,8031,5965,13996
SE03,2889,3428,6317,11732,10042,21774
SE04,3617,3939,7556,8578,7070,15648
SE05,7681,8458,16139,13223,9196,22419
SE06,6828,7509,14337,16050,12956,29006
SE06N,1,0,1,0,0,0
SE07,2708,3187,5895,6450,4671,11121
SE08,4624,4993,9617,8430,5756,14186
SE09,5126,6029,11155,21288,18160,39448
SE10,2796,3345,6141,10036,7915,17951
SE11,3382,3510,6892,6738,4269,11007
SE12,2539,2970,5509,8838,7503,16341
SE13,5611,5858,11469,12888,10078,22966
SE14,4042,4143,8185,7003,4892,11895
SE15,11528,11638,23166,17172,12476,29648
SE16,5884,6696,12580,14895,10354,25249
SE17,6254,6432,12686,8682,5065,13747
SE18,12277,12734,25011,22040,15005,37045
SE19,2866,3458,6324,9293,7788,17081
SE20,2700,3019,5719,7169,5936,13105
SE21,1521,1629,3150,5081,4767,9848
SE22,3264,3540,6804,9581,8324,17905
SE23,3547,4062,7609,10515,9089,19604
SE24,1990,2095,4085,5823,5119,10942
SE25,4177,4826,9003,10903,9036,19939
SE26,3285,3939,7224,8985,7572,16557
SE27,2751,2901,5652,6590,5414,12004
SE28,3777,4735,8512,7932,5712,13644
SE29,1,3,4,2,0,2
SE31,0,1,1,0,0,0
SE33,0,1,1,0,0,0
SE35,0,1,1,0,0,0
SE37,0,1,1,0,0,0
SE50,0,0,0,1,0,1
SE57,0,1,1,0,0,0
SE59,0,0,0,1,0,1
SE60,0,0,0,1,0,1
SE72,1,0,1,0,0,0
SE73,0,0,0,1,0,1
SE74,0,1,1,1,0,1
SE75,1,0,1,0,0,0
SE76,0,0,0,1,0,1
SE77,1,1,2,0,0,0
SE88,0,0,0,1,0,1
SE91,0,1,1,0,0,0
SE99,0,0,0,0,1,1
SG00,0,0,0,0,1,1
SG01,3343,3885,7228,18977,16037,35014
SG02,2185,2752,4937,15529,13655,29184
SG03,237,283,520,2878,2746,5624
SG04,1198,1403,2601,11452,10841,22293
SG05,1367,1600,2967,12848,12143,24991
SG06,1802,2158,3960,12126,10987,23113
SG07,524,569,1093,5246,5042,10288
SG08,1365,1574,2939,15718,14539,30257
SG09,272,313,585,4871,4757,9628
SG10,43,61,104,831,827,1658
SG11,257,230,487,3554,3385,6939
SG12,1237,1346,2583,11683,10865,22548
SG13,728,769,1497,6679,6416,13095
SG14,848,972,1820,7737,7254,14991
SG15,236,258,494,2186,2045,4231
SG16,176,213,389,2514,2442,4956
SG17,482,517,999,5440,5139,10579
SG18,995,1258,2253,11129,10220,21349
SG19,811,1074,1885,10000,9258,19258
SK00,0,0,0,0,1,1
SK01,759,935,1694,3831,2994,6825
SK02,1507,1789,3296,10566,9584,20150
SK03,1817,2230,4047,9050,7841,16891
SK04,1964,2052,4016,13440,12155,25595
SK05,2138,2747,4885,9295,7609,16904
SK06,1990,2332,4322,19473,18113,37586
SK07,1465,1582,3047,16491,16030,32521
SK08,2444,2772,5216,23519,22276,45795
SK09,1432,1623,3055,15693,15093,30786
SK10,1523,1620,3143,15774,15295,31069
SK11,1743,1989,3732,13832,12470,26302
SK12,590,595,1185,7900,7802,15702
SK13,1508,1915,3423,12091,11039,23130
SK14,2781,3396,6177,16451,14009,30460
SK15,1617,1821,3438,9737,8466,18203
SK16,1140,1364,2504,6588,5479,12067
SK17,1240,1412,2652,11748,10398,22146
SK22,504,601,1105,4747,4211,8958
SK23,595,640,1235,7227,6635,13862
SL00,438,493,931,4912,4496,9408
SL01,7348,7410,14758,26677,19637,46314
SL02,4727,5525,10252,20512,16125,36637
SL03,2922,3780,6702,18537,15507,34044
SL04,2086,2471,4557,17519,16216,33735
SL05,1125,1244,2369,10267,10502,20769
SL06,3876,4381,8257,32806,30228,63034
SL07,735,809,1544,8572,8593,17165
SL08,202,205,407,2703,2707,5410
SL09,867,907,1774,9334,9419,18753
SM01,2856,3391,6247,14503,12088,26591
SM02,1524,1909,3433,11022,9990,21012
SM03,1239,1402,2641,8079,7257,15336
SM04,3359,3596,6955,13910,10601,24511
SM05,2695,3254,5949,13793,12569,26362
SM06,2522,3021,5543,13412,12011,25423
SM07,614,649,1263,7364,7405,14769
SN00,0,0,0,1,0,1
SN01,3536,3182,6718,11203,7295,18498
SN02,3020,3702,6722,14690,11249,25939
SN03,3034,3888,6922,19334,16183,35517
SN04,1040,1269,2309,11505,10702,22207
SN05,1592,2193,3785,13731,12002,25733
SN06,821,944,1765,9011,8446,17457
SN07,471,646,1117,5799,5403,11202
SN08,941,1051,1992,9585,9142,18727
SN09,268,304,572,3256,3227,6483
SN10,1210,1454,2664,12030,11344,23374
SN11,892,1138,2030,8978,8380,17358
SN12,1022,1133,2155,10440,9608,20048
SN13,633,782,1415,6410,6263,12673
SN14,1134,1286,2420,10735,9947,20682
SN15,1565,1785,3350,14553,12456,27009
SN16,401,431,832,5939,5685,11624
SN20,0,0,0,1,0,1
SN24,0,1,1,0,1,1
SN25,1396,1784,3180,15364,13755,29119
SN26,44,48,92,877,785,1662
SN27,0,0,0,1,0,1
SN31,0,0,0,0,1,1
SN34,0,0,0,0,1,1
SN48,0,0,0,1,0,1
SN66,0,1,1,0,0,0
SO00,0,0,0,0,1,1
SO01,54,41,95,155,61,216
SO02,79,44,123,142,64,206
SO03,33,22,55,121,81,202
SO03O,0,0,0,1,1,2
SO04,33,29,62,137,108,245
SO05,33,21,54,132,68,200
SO06,0,0,0,2,0,2
SO09,17,14,31,28,11,39
SO14,3363,2740,6103,7690,3986,11676
SO15,3021,3149,6170,13481,10245,23726
SO16,4528,5518,10046,22684,18494,41178
SO17,1494,1424,2918,5373,3708,9081
SO18,2080,2468,4548,12923,10893,23816
SO19,3500,4465,7965,19171,16206,35377
SO20,272,288,560,3435,3217,6652
SO21,586,725,1311,8079,7746,15825
SO22,1482,1702,3184,9496,9056,18552
SO23,1275,1343,2618,7372,6867,14239
SO24,358,391,749,4702,4649,9351
SO30,949,1084,2033,12693,12352,25045
SO31,1500,1642,3142,18558,17940,36498
SO32,560,606,1166,9055,9016,18071
SO33,0,0,0,1,1,2
SO40,1406,1652,3058,15936,14988,30924
SO41,977,987,1964,12826,12959,25785
SO42,159,163,322,2024,1987,4011
SO43,123,131,254,1842,1781,3623
SO45,1304,1599,2903,13307,12568,25875
SO50,2252,2728,4980,17948,16241,34189
SO51,851,1037,1888,11712,11457,23169
SO52,172,241,413,2769,2623,5392
SO53,1081,1230,2311,12499,12111,24610
SP01,1099,1152,2251,7820,7206,15026
SP02,1649,1863,3512,10513,9402,19915
SP03,338,432,770,4750,4634,9384
SP04,1546,1885,3431,13640,11676,25316
SP05,581,662,1243,9312,9203,18515
SP06,357,379,736,5940,5757,11697
SP07,478,627,1105,5761,5595,11356
SP08,455,541,996,5605,5446,11051
SP09,472,895,1367,3598,2793,6391
SP10,2273,2872,5145,14214,11976,26190
SP11,971,1285,2256,12116,11300,23416
SR01,577,450,1027,1242,495,1737
SR02,2372,2565,4937,10065,7738,17803
SR03,2092,2829,4921,12456,10099,22555
SR04,3106,3887,6993,11831,8776,20607
SR05,2577,3201,5778,9341,6829,16170
SR06,1285,1523,2808,10781,9426,20207
SR07,1614,2216,3830,9666,7687,17353
SR08,2187,2984,5171,10824,8528,19352
SS00,3361,3632,6993,13904,11385,25289
SS01,2041,2240,4281,9258,7843,17101
SS02,2709,3293,6002,12109,10139,22248
SS03,1613,1952,3565,10226,9376,19602
SS04,867,1064,1931,7992,7481,15473
SS05,789,729,1518,8999,8458,17457
SS06,1140,1304,2444,12182,11360,23542
SS07,1846,2129,3975,19734,18228,37962
SS08,1897,2585,4482,14326,12138,26464
SS09,2169,2426,4595,18923,17492,36415
SS11,693,818,1511,7464,6746,14210
SS12,687,830,1517,7289,6639,13928
SS13,1642,2173,3815,7882,6341,14223
SS14,2145,2909,5054,8832,6936,15768
SS15,2211,2776,4987,10904,9469,20373
SS16,1962,2728,4690,11015,9093,20108
SS17,1377,1748,3125,12807,11456,24263
SS20,0,0,0,0,1,1
SS30,0,0,0,0,1,1
SS31,0,0,0,1,0,1
SS39,0,1,1,0,0,0
SS50,0,0,0,1,0,1
SS92,0,0,0,1,0,1
SS95,1,0,1,0,0,0
SS99,0,1,1,0,0,0
ST00,0,0,0,1,0,1
ST01,2662,2933,5595,9839,6564,16403
ST02,2153,2870,5023,10646,8329,18975
ST03,3843,4956,8799,22373,17820,40193
ST04,4043,4454,8497,18106,14005,32111
ST05,4329,5020,9349,27425,23137,50562
ST06,4462,5733,10195,20719,15345,36064
ST07,2011,2492,4503,20677,18720,39397
ST08,624,846,1470,7669,6929,14598
ST09,276,344,620,4951,4582,9533
ST10,720,963,1683,9912,8907,18819
ST11,284,304,588,3959,3598,7557
ST12,119,124,243,1501,1462,2963
ST13,1063,1297,2360,10253,9208,19461
ST14,797,1001,1798,7635,6736,14371
ST15,684,849,1533,8582,8002,16584
ST16,1772,2048,3820,10940,9192,20132
ST17,1787,2248,4035,13880,12495,26375
ST18,404,418,822,7382,6890,14272
ST19,456,524,980,6032,5738,11770
ST20,174,205,379,2960,2737,5697
ST21,106,165,271,2595,2495,5090
SW00,1,1,2,1,2,3
SW01,39,39,78,64,43,107
SW01A,97,85,182,346,175,521
SW01B,1,0,1,0,1,1
SW01D,0,0,0,0,1,1
SW01E,125,92,217,455,248,703
SW01H,58,67,125,366,199,565
SW01J,0,1,1,0,0,0
SW01M,0,0,0,1,2,3
SW01N,0,1,1,1,0,1
SW01P,1266,1539,2805,4178,2867,7045
SW01Q,1,0,1,0,0,0
SW01U,0,0,0,0,1,1
SW01V,2242,2600,4842,7037,5201,12238
SW01W,872,981,1853,2703,2210,4913
SW01X,742,924,1666,2506,2034,4540
SW01Y,81,59,140,364,168,532
SW01Z,1,1,2,1,0,1
SW02,7458,7972,15430,16503,12563,29066
SW03,2175,2632,4807,8648,7400,16048
SW04,4863,4973,9836,13772,10383,24155
SW05,2277,1951,4228,5958,3905,9863
SW06,6163,7055,13218,22274,18830,41104
SW07,2943,2470,5413,8748,6007,14755
SW08,5518,5748,11266,11417,7344,18761
SW09,7709,7820,15529,13386,8561,21947
SW10,2017,2295,4312,6625,5400,12025
SW11,6907,8077,14984,24678,20002,44680
SW12,2583,2772,5355,11119,9745,20864
SW13,1065,1325,2390,6298,5967,12265
SW14,1096,1219,2315,6615,6340,12955
SW15,5441,6348,11789,22919,19424,42343
SW16,10622,10307,20929,28148,21662,49810
SW17,8504,7778,16282,21215,16822,38037
SW18,4787,5632,10419,23405,20522,43927
SW19,6838,7613,14451,31819,27104,58923
SW20,2114,2372,4486,12336,11047,23383
SY01,1572,1876,3448,9061,7550,16611
SY02,845,997,1842,6418,5693,12111
SY03,1381,1635,3016,12468,11781,24249
SY04,792,954,1746,10108,9622,19730
SY05,688,686,1374,8699,8266,16965
SY06,190,194,384,2852,2737,5589
SY07,317,407,724,4520,4173,8693
SY08,572,702,1274,7296,6750,14046
SY09,82,101,183,1123,999,2122
SY10,403,515,918,6374,5921,12295
SY11,1148,1376,2524,9408,8453,17861
SY12,272,311,583,3293,3036,6329
SY13,722,803,1525,7878,7158,15036
SY14,150,188,338,2761,2733,5494
SY15,119,135,254,2178,2092,4270
SY16,807,894,1701,5593,4888,10481
SY17,84,114,198,1540,1387,2927
SY18,131,137,268,1789,1594,3383
SY19,27,24,51,448,391,839
SY20,256,304,560,2550,2352,4902
SY21,556,751,1307,6451,5865,12316
SY22,256,253,509,3689,3432,7121
SY23,1321,1463,2784,8720,7705,16425
SY24,166,205,371,1758,1605,3363
SY25,136,181,317,1754,1601,3355
TA01,2050,2339,4389,14199,13079,27278
TA02,1229,1461,2690,10909,10088,20997
TA03,334,372,706,6378,6231,12609
TA04,550,618,1168,7848,7751,15599
TA05,283,360,643,4690,4492,9182
TA06,2647,2916,5563,17093,14374,31467
TA07,413,444,857,6708,6444,13152
TA08,590,666,1256,6573,5900,12473
TA09,539,614,1153,5077,4552,9629
TA10,312,278,590,4093,4016,8109
TA11,233,305,538,3926,3872,7798
TA12,167,205,372,2508,2438,4946
TA13,91,129,220,1696,1689,3385
TA14,85,118,203,1308,1199,2507
TA15,17,23,40,277,275,552
TA16,50,64,114,772,740,1512
TA17,8,14,22,240,260,500
TA18,314,401,715,4140,3830,7970
TA19,299,376,675,4799,4703,9502
TA20,759,823,1582,7942,7160,15102
TA21,707,846,1553,7706,7241,14947
TA22,59,84,143,1065,1073,2138
TA23,240,298,538,2172,1978,4150
TA24,674,862,1536,6953,6348,13301
TD01,892,1176,2068,6339,5456,11795
TD02,67,91,158,1089,1058,2147
TD03,35,43,78,450,378,828
TD04,88,86,174,899,848,1747
TD05,348,431,779,4366,4272,8638
TD06,239,315,554,3198,3093,6291
TD07,315,363,678,2707,2517,5224
TD08,224,291,515,2304,2130,4434
TD09,780,986,1766,6572,5599,12171
TD10,26,50,76,453,416,869
TD11,235,317,552,3032,2747,5779
